SSN,AGE,GENDER,RACE,ETHNICITY,BMI,SYSTOLIC_BP,DIASTOLIC_BP,GLUCOSE,ICD_PRIMARY,ICD_SECONDARY,ENCOUNTER_TYPE,LOS_DAYS,TOTAL_CLAIM_COST,PAYER_TYPE,CITY,POSTAL_PREFIX
998-33-8080,55,M,South Asian,Non-Hispanic,24.2,126,76,117.5,J06.9,Z79.4,inpatient,3.2,577.03,OHIP,Richmond Hill,L5G
147-70-7447,29,M,White,Non-Hispanic,39.0,127,70,93.2,M54.5,Z79.4,preventive,3.5,2381.15,OHIP,Keswick,L6G
658-65-4176,55,M,White,Non-Hispanic,21.9,135,76,71.4,F32.1,Z96.651,outpatient,0.5,997.83,OHIP,Bradford,L6G
468-85-3311,58,M,White,Non-Hispanic,21.2,144,81,146.8,J06.9,Z87.891,preventive,1.3,439.86,OHIP,Richmond Hill,L5G
305-27-3797,36,M,Black,Hispanic,27.7,126,72,86.6,E11.9,Z82.49,preventive,1.3,249.47,Self-pay,Bradford,L5G
439-32-1452,54,M,White,Hispanic,27.6,119,82,171.1,K92.1,,outpatient,4.4,79.43,Workplace,East Gwillimbury,L4G
932-55-1577,53,F,White,Non-Hispanic,29.9,142,83,77.2,J06.9,Z87.891,preventive,0.7,179.55,OHIP,Keswick,L4G
947-78-8317,31,F,White,Non-Hispanic,25.8,130,80,94.9,E11.9,Z96.651,outpatient,5.4,3394.75,OHIP,Keswick,L5G
292-21-5242,58,F,South Asian,Hispanic,30.9,117,92,90.1,ZZZ999,,outpatient,1.2,1877.33,Private,King,L6G
505-64-9427,62,M,Filipino,Hispanic,19.6,132,80,114.3,F32.1,,preventive,2.2,940.6,Private,Georgina,L5G
737-71-4472,71,M,Other,Non-Hispanic,27.8,124,73,76.8,E11.9,Z79.4,preventive,0.6,367.64,Private,Barrie,L3G
624-37-3370,70,F,White,Non-Hispanic,27.4,133,80,98.7,Z00.00,Z79.4,emergency,1.1,2949.01,OHIP,Bradford,L4G
360-69-5432,27,F,Chinese,Non-Hispanic,21.1,110,71,101.2,E11.9,Z96.641,outpatient,2.5,197.68,OHIP,Bradford,L3G
399-55-1579,35,M,Black,Non-Hispanic,39.5,139,63,106.6,J06.9,Z96.641,inpatient,1.4,200.41,WSIB,East Gwillimbury,L6G
483-58-8850,61,M,South Asian,Hispanic,25.0,136,91,89.5,E66.9,,inpatient,5.3,594.56,Self-pay,Aurora,L3G
969-77-9524,61,M,Arab,Non-Hispanic,39.6,129,86,98.3,I10,Z79.4,outpatient,2.7,50.0,OHIP,Keswick,L5G
119-27-9895,61,M,White,Hispanic,21.5,141,82,100.3,I10,Z79.4,telehealth,1.7,191.07,WSIB,Keswick,L5G
532-51-2252,95,M,White,Non-Hispanic,21.8,132,99,70.3,E11.9,,outpatient,4.4,500.96,Private,King,L5G
623-98-3422,62,F,Filipino,Hispanic,30.1,141,77,200.0,E11.9,,outpatient,2.2,382.42,OHIP,King,L3G
135-17-1027,72,F,White,Non-Hispanic,24.0,130,87,173.3,E11.9,Z96.641,outpatient,2.1,203.18,OHIP,Barrie,L3G
471-95-7909,69,F,Chinese,Non-Hispanic,26.3,135,82,96.3,I50.9,Z96.641,outpatient,0.6,7650.12,OHIP,Bradford,L3G
521-89-5281,63,F,Latin American,Non-Hispanic,21.6,139,78,96.1,J45.901,Z87.891,emergency,1.0,3414.93,OHIP,Keswick,L5G
104-55-9033,46,F,White,Non-Hispanic,31.3,137,72,101.6,K21.0,Z79.4,outpatient,2.3,5205.76,WSIB,East Gwillimbury,L5G
596-84-1256,65,F,Filipino,Non-Hispanic,27.2,150,95,124.1,J44.1,,emergency,4.4,590.6,OHIP,Keswick,L5G
834-78-2447,38,F,White,Hispanic,36.4,130,75,86.1,I50.9,Z79.4,outpatient,0.8,370.07,Private,East Gwillimbury,L3G
423-78-5599,47,M,White,Non-Hispanic,22.8,131,82,100.7,,Z96.651,outpatient,0.5,4545.97,Private,Georgina,L3G
371-63-9674,43,M,South Asian,Hispanic,33.3,127,63,114.5,I10,Z87.891,emergency,1.8,736.75,OHIP,Georgina,L6G
693-13-3674,53,M,Latin American,Hispanic,22.9,132,87,68.0,F32.1,Z82.49,outpatient,0.1,186.31,OHIP,Aurora,L4G
450-18-8044,93,F,White,Non-Hispanic,23.5,151,96,99.0,E11.9,Z82.49,inpatient,2.5,202.5,OHIP,King,L5G
327-25-6929,18,F,White,Non-Hispanic,25.2,116,70,69.8,Z00.00,Z82.49,emergency,2.4,450.65,OHIP,Barrie,L3G
524-89-8413,64,M,South Asian,Non-Hispanic,26.1,118,80,128.8,N39.0,,inpatient,0.9,647.8,OHIP,Newmarket,L4G
897-35-2585,22,F,Black,Non-Hispanic,31.5,125,76,102.8,E78.5,,inpatient,4.5,733.45,OHIP,Newmarket,L3G
754-61-3280,43,M,South Asian,Non-Hispanic,21.0,129,93,100.8,K21.0,Z96.641,preventive,1.4,533.63,OHIP,Bradford,L3G
777-47-3538,71,F,White,Non-Hispanic,18.8,128,67,66.9,N39.0,,telehealth,2.1,11020.64,OHIP,Keswick,L5G
543-29-9302,53,M,White,Non-Hispanic,27.6,120,85,87.4,E11.9,Z82.49,outpatient,0.5,131.14,OHIP,Bradford,L4G
586-98-4390,32,M,White,Non-Hispanic,26.7,138,66,87.5,M54.5,Z96.651,emergency,1.1,1491.08,OHIP,Richmond Hill,L3G
217-59-2941,39,F,Chinese,Non-Hispanic,19.9,128,73,121.5,I50.9,,outpatient,4.0,375.05,WSIB,Keswick,L4G
338-81-1821,64,M,White,Non-Hispanic,25.1,133,79,105.9,E11.9,,outpatient,0.5,634.89,OHIP,Newmarket,L4G
498-57-9595,38,M,White,Hispanic,28.6,116,72,70.2,E66.9,,outpatient,1.0,2056.16,Workplace,Newmarket,L5G
774-76-6691,55,M,Arab,Non-Hispanic,24.1,123,78,126.5,F32.1,,telehealth,0.8,78.31,WSIB,Aurora,L4G
709-43-5963,52,F,White,Hispanic,29.7,146,70,72.5,I10,Z96.641,inpatient,0.3,213.78,Workplace,Newmarket,L6G
966-82-5991,40,F,Other,Non-Hispanic,21.2,125,82,90.8,M54.5,Z96.641,outpatient,0.7,566.57,OHIP,King,L6G
829-21-2111,90,M,South Asian,Non-Hispanic,21.5,139,72,101.8,I50.9,Z82.49,outpatient,0.5,3910.82,Private,Barrie,L5G
972-28-5587,63,F,Chinese,Non-Hispanic,29.3,142,86,106.2,ZZZ999,Z96.641,telehealth,5.1,3886.16,OHIP,Keswick,L5G
435-35-6526,15,F,White,Non-Hispanic,19.4,105,64,101.9,N39.0,,outpatient,2.7,3080.24,OHIP,Bradford,L6G
732-42-5457,55,M,White,Non-Hispanic,22.1,146,69,123.2,,Z87.891,outpatient,0.8,50.0,Workplace,Keswick,L5G
540-39-8881,40,M,Black,Non-Hispanic,25.3,140,77,239.9,N39.0,,preventive,2.9,188.72,OHIP,Keswick,L4G
993-45-3684,67,M,Chinese,Non-Hispanic,30.3,135,71,97.6,E11.9,,inpatient,0.0,198.27,WSIB,Newmarket,L3G
322-95-7826,37,M,Black,Non-Hispanic,34.9,123,78,76.8,E11.9,Z87.891,outpatient,1.5,622.48,OHIP,Newmarket,L5G
792-96-3876,49,F,White,Non-Hispanic,26.2,104,66,107.9,E11.9,,outpatient,0.6,71.98,OHIP,Richmond Hill,L6G
707-62-5107,61,M,Black,Non-Hispanic,25.3,120,84,70.2,I10,Z82.49,telehealth,0.2,2483.63,OHIP,East Gwillimbury,L3G
221-44-6669,67,F,Black,Non-Hispanic,18.4,120,72,125.3,I10,,preventive,4.3,60.75,Private,Aurora,L4G
379-90-4008,30,F,South Asian,Non-Hispanic,23.0,122,68,108.1,N39.0,Z96.651,outpatient,0.4,2296.25,OHIP,Keswick,L3G
427-88-6420,45,M,Black,Non-Hispanic,25.1,125,79,136.8,F32.1,Z96.641,outpatient,3.5,1891.28,OHIP,Richmond Hill,L6G
828-81-3911,43,F,Chinese,Non-Hispanic,23.6,113,69,100.8,E11.9,Z79.4,outpatient,1.1,178.88,OHIP,Keswick,L3G
853-22-6485,40,M,South Asian,Non-Hispanic,18.8,120,73,108.8,E11.9,,inpatient,0.0,3024.03,OHIP,King,L6G
818-15-3144,83,F,White,Hispanic,37.1,154,77,90.8,E11.9,Z82.49,emergency,2.6,445.92,OHIP,Newmarket,L5G
170-56-6980,59,F,White,Non-Hispanic,23.5,138,84,94.4,J44.1,,outpatient,1.8,326.61,OHIP,Richmond Hill,L5G
841-53-7397,29,F,White,Non-Hispanic,31.9,106,88,79.2,E11.9,Z96.641,emergency,0.8,401.12,OHIP,Innisfil,L6G
870-63-9141,68,F,White,Non-Hispanic,39.9,143,109,73.3,M54.5,Z82.49,emergency,0.7,444.6,OHIP,King,L5G
265-13-6582,90,M,White,Non-Hispanic,21.6,130,87,97.8,J44.1,,emergency,0.2,496.5,OHIP,Bradford,L4G
244-46-2897,70,F,White,Non-Hispanic,20.7,145,88,94.3,J06.9,Z82.49,telehealth,5.7,510.21,Private,Richmond Hill,L3G
204-45-6433,24,F,White,Non-Hispanic,26.0,128,57,78.9,K21.0,Z96.651,outpatient,1.4,228.52,OHIP,Georgina,L6G
268-17-9130,43,F,White,Non-Hispanic,32.8,122,90,170.3,I10,Z79.4,outpatient,0.2,301.92,OHIP,Bradford,L6G
697-61-7752,74,F,Chinese,Non-Hispanic,24.9,132,90,95.5,E11.9,Z96.641,emergency,4.1,334.98,OHIP,Innisfil,L6G
611-34-5637,39,F,Arab,Non-Hispanic,31.9,124,73,78.6,I10,Z82.49,preventive,0.7,4950.66,OHIP,Aurora,L4G
712-76-2884,59,M,White,Non-Hispanic,25.2,111,90,100.3,E11.9,Z82.49,outpatient,0.5,335.16,OHIP,Barrie,L4G
162-41-2622,65,M,Arab,Non-Hispanic,25.7,140,79,79.1,E11.9,,preventive,0.7,310.31,OHIP,Newmarket,L4G
310-88-3610,35,F,South Asian,Non-Hispanic,25.3,121,70,98.8,E78.5,Z96.641,outpatient,1.7,4103.5,OHIP,Barrie,L6G
674-89-4069,50,M,White,Non-Hispanic,21.5,138,80,77.7,ZZZ999,,outpatient,0.2,451.96,OHIP,Newmarket,L4G
442-10-5452,0,F,White,Non-Hispanic,24.4,99,56,77.8,K92.1,Z82.49,outpatient,1.3,228.54,OHIP,Barrie,L5G
518-72-5176,33,F,White,Non-Hispanic,43.8,126,87,59.6,E11.9,Z82.49,telehealth,4.5,176.21,OHIP,Aurora,L3G
714-35-6237,47,M,Chinese,Non-Hispanic,24.0,113,68,204.5,I50.9,Z82.49,inpatient,0.4,121.0,OHIP,Innisfil,L5G
953-32-9416,29,M,Black,Non-Hispanic,17.7,108,62,116.8,K21.0,Z87.891,outpatient,0.8,1273.37,Private,Innisfil,L5G
518-21-1225,81,F,White,Non-Hispanic,24.5,130,78,116.0,I10,Z87.891,telehealth,1.0,76.31,OHIP,Georgina,L4G
433-76-4179,26,M,White,Non-Hispanic,29.0,132,79,99.9,J44.1,Z79.4,emergency,1.8,3346.28,OHIP,King,L6G
911-70-5223,44,F,White,Non-Hispanic,22.9,120,70,65.0,J06.9,Z96.651,preventive,5.0,596.1,Private,Georgina,L5G
452-20-6023,54,M,White,Non-Hispanic,21.8,131,67,166.2,J45.901,,outpatient,1.0,393.67,OHIP,Newmarket,L3G
313-92-9612,77,F,White,Non-Hispanic,25.1,137,79,98.4,J44.1,,outpatient,0.1,505.72,Workplace,Richmond Hill,L4G
814-50-2371,26,M,White,Non-Hispanic,30.6,111,73,47.2,E11.9,Z96.641,inpatient,0.9,1159.41,OHIP,Innisfil,L5G
660-24-3612,72,F,Chinese,Non-Hispanic,27.6,138,74,113.1,J44.1,Z96.651,emergency,0.4,378.49,Workplace,Newmarket,L4G
206-42-6919,52,M,Latin American,Hispanic,20.2,134,67,104.2,I10,,inpatient,2.1,528.41,OHIP,Georgina,L3G
328-57-7083,34,F,White,Non-Hispanic,26.2,112,91,124.4,Z00.00,Z96.651,inpatient,0.1,2353.59,OHIP,Innisfil,L4G
284-71-4058,60,M,Latin American,Non-Hispanic,25.8,142,73,143.7,K21.0,,emergency,0.7,1008.57,OHIP,Newmarket,L6G
949-96-2153,55,F,White,Non-Hispanic,28.7,125,77,75.1,E11.9,,outpatient,1.6,148.42,Workplace,East Gwillimbury,L5G
944-25-4079,41,F,White,Hispanic,33.2,126,75,77.6,I10,Z87.891,emergency,0.6,284.49,OHIP,Aurora,L5G
502-41-8536,53,M,White,Hispanic,36.3,142,78,90.7,E11.9,Z79.4,outpatient,1.6,78.44,Private,Innisfil,L6G
899-94-7680,45,M,South Asian,Non-Hispanic,26.6,122,82,118.8,J45.901,,outpatient,0.2,1391.72,OHIP,East Gwillimbury,L3G
152-90-9990,54,M,Other,Non-Hispanic,35.4,137,89,85.6,F41.1,,outpatient,5.7,1581.93,OHIP,Georgina,L3G
647-96-3938,63,F,South Asian,Non-Hispanic,26.5,133,79,164.7,E11.9,Z96.651,emergency,0.7,216.75,OHIP,Bradford,L4G
338-98-7187,80,F,White,Non-Hispanic,23.8,143,75,101.3,F32.1,,preventive,5.1,10570.5,OHIP,Newmarket,L5G
403-39-3316,29,F,South Asian,Non-Hispanic,28.2,99,83,107.6,Z00.00,Z96.651,outpatient,0.8,12400.14,OHIP,East Gwillimbury,L3G
782-25-8909,90,M,White,Non-Hispanic,24.2,127,86,61.4,E11.9,Z82.49,outpatient,3.0,683.6,Private,Aurora,L6G
702-35-8114,16,M,Filipino,Non-Hispanic,23.5,122,82,110.6,I10,Z96.641,outpatient,0.6,255.48,Workplace,Barrie,L6G
530-46-6529,49,F,White,Non-Hispanic,27.6,141,60,85.2,I10,Z79.4,telehealth,2.2,923.86,OHIP,Barrie,L6G
837-24-9731,62,F,White,Hispanic,23.7,125,82,93.5,E11.9,,emergency,0.8,248.33,WSIB,Keswick,L3G
224-93-6029,57,F,South Asian,Non-Hispanic,20.6,128,93,116.3,ZZZ999,Z96.641,telehealth,1.4,2079.82,OHIP,Aurora,L6G
527-62-5687,40,M,South Asian,Non-Hispanic,30.1,131,74,91.8,E66.9,,preventive,2.2,812.11,OHIP,Keswick,L5G
337-13-1327,48,F,White,Non-Hispanic,24.5,136,75,72.0,ZZZ999,Z87.891,outpatient,1.8,885.3,Workplace,Keswick,L3G
911-55-9543,43,M,South Asian,Non-Hispanic,29.5,109,79,72.9,I10,Z96.651,outpatient,1.7,5491.73,Workplace,Keswick,L3G
112-78-6291,41,M,White,Non-Hispanic,25.8,118,71,190.1,J44.1,Z96.651,inpatient,0.1,316.45,OHIP,Richmond Hill,L5G
333-62-4122,67,F,Black,Non-Hispanic,36.3,139,83,90.0,K21.0,,outpatient,0.6,332.03,OHIP,Innisfil,L6G
880-50-8995,58,F,Chinese,Hispanic,31.5,143,79,95.9,J44.1,Z96.641,outpatient,1.7,1863.19,Private,Innisfil,L3G
899-54-5073,39,F,Chinese,Non-Hispanic,24.8,150,70,89.0,I10,Z87.891,outpatient,0.0,400.86,OHIP,Barrie,L5G
373-88-5395,68,M,South Asian,Non-Hispanic,27.8,136,93,113.6,E11.9,,emergency,0.6,4557.81,OHIP,Newmarket,L5G
552-46-8840,57,M,South Asian,Non-Hispanic,30.6,122,85,95.4,K21.0,,inpatient,0.5,2209.66,OHIP,King,L4G
482-28-7943,66,F,White,Non-Hispanic,25.6,141,84,68.6,I10,,outpatient,0.6,425.97,WSIB,Aurora,L6G
717-31-2256,63,F,Black,Non-Hispanic,26.5,149,88,107.2,E11.9,,inpatient,1.5,75.65,Private,King,L6G
733-10-2752,37,M,White,Non-Hispanic,27.7,127,73,123.6,F32.1,Z82.49,outpatient,1.7,116.43,Private,Georgina,L5G
759-67-3978,41,M,White,Non-Hispanic,35.6,123,72,97.3,E11.9,,emergency,4.8,373.11,OHIP,Newmarket,L3G
336-79-4013,65,M,White,Non-Hispanic,26.6,146,77,98.5,E66.9,,emergency,1.0,1081.01,OHIP,Keswick,L4G
800-72-8652,62,F,White,Non-Hispanic,23.1,140,80,83.3,N39.0,Z82.49,outpatient,5.2,2496.72,OHIP,East Gwillimbury,L4G
340-70-5866,51,M,South Asian,Non-Hispanic,35.6,125,72,91.4,,Z96.651,inpatient,2.1,512.48,WSIB,Richmond Hill,L3G
840-54-3958,54,M,White,Non-Hispanic,25.0,135,74,102.5,E11.9,Z96.651,inpatient,4.9,228.91,OHIP,East Gwillimbury,L4G
372-24-2540,74,M,Black,Non-Hispanic,26.8,150,80,112.0,J06.9,,outpatient,3.6,561.78,OHIP,East Gwillimbury,L3G
529-20-6467,41,M,White,Non-Hispanic,23.3,137,92,101.7,J44.1,Z79.4,outpatient,2.3,681.6,Workplace,King,L4G
650-76-2738,61,M,White,Non-Hispanic,28.0,135,59,122.3,E78.5,,telehealth,0.9,3184.13,OHIP,Bradford,L3G
193-14-6269,48,F,White,Non-Hispanic,28.4,127,77,96.5,M54.5,Z96.641,outpatient,0.6,2978.9,WSIB,Richmond Hill,L5G
816-53-9690,48,M,White,Non-Hispanic,21.3,140,90,78.2,F32.1,Z96.651,inpatient,0.5,199.88,OHIP,Georgina,L5G
470-94-1484,71,F,White,Non-Hispanic,21.5,125,83,78.6,ZZZ999,Z87.891,preventive,6.1,1147.01,OHIP,Richmond Hill,L4G
764-30-9923,66,M,Black,Hispanic,23.6,140,87,113.5,J44.1,,outpatient,6.4,238.74,OHIP,Keswick,L4G
291-77-6166,66,F,White,Hispanic,24.9,123,82,159.5,J44.1,Z96.641,outpatient,2.6,246.97,Private,Keswick,L5G
226-44-5540,75,F,Chinese,Non-Hispanic,22.4,149,78,70.3,N39.0,Z79.4,preventive,4.3,2313.25,Workplace,Keswick,L6G
876-62-1707,52,F,White,Non-Hispanic,30.6,131,62,91.9,I50.9,,outpatient,5.0,523.65,OHIP,Newmarket,L3G
532-98-1047,64,F,White,Non-Hispanic,25.3,148,83,92.4,N39.0,Z82.49,emergency,1.4,1433.44,OHIP,Bradford,L6G
990-91-4180,46,M,Black,Non-Hispanic,24.1,133,70,83.7,K21.0,Z79.4,emergency,2.0,1263.55,Workplace,Newmarket,L4G
362-40-9549,57,M,White,Non-Hispanic,30.0,123,74,73.8,J44.1,Z96.641,emergency,1.1,604.63,OHIP,Keswick,L5G
667-70-2028,49,F,White,Non-Hispanic,36.0,149,77,83.4,F32.1,Z82.49,telehealth,1.1,991.86,OHIP,Georgina,L4G
385-31-4728,53,F,White,Non-Hispanic,24.8,147,92,80.7,I10,,preventive,0.1,849.48,OHIP,Keswick,L6G
493-80-5803,62,F,White,Non-Hispanic,17.6,140,98,164.3,ZZZ999,Z87.891,emergency,1.1,167.25,Private,Newmarket,L5G
525-36-9318,37,F,Chinese,Non-Hispanic,27.0,118,77,107.4,I10,Z82.49,preventive,2.2,1193.67,OHIP,Richmond Hill,L5G
234-32-2652,89,F,White,Non-Hispanic,23.5,142,83,99.2,E11.9,Z82.49,preventive,1.1,285.09,OHIP,East Gwillimbury,L5G
491-17-5708,33,M,Chinese,Non-Hispanic,44.9,135,70,189.8,Z00.00,Z87.891,telehealth,4.1,184.4,WSIB,Richmond Hill,L3G
360-80-6859,30,M,Latin American,Non-Hispanic,30.9,118,78,63.9,I10,Z96.651,emergency,0.8,1854.87,OHIP,Keswick,L4G
485-97-9370,72,F,White,Non-Hispanic,23.5,155,97,90.5,I10,Z96.651,outpatient,0.3,327.15,OHIP,Barrie,L6G
549-21-5910,66,F,Latin American,Hispanic,23.7,137,79,102.8,I10,Z82.49,emergency,3.3,2522.05,OHIP,Richmond Hill,L3G
845-64-5453,63,M,White,Non-Hispanic,38.0,115,66,84.0,J44.1,,outpatient,2.2,2485.01,WSIB,Innisfil,L6G
475-54-5797,63,F,Other,Non-Hispanic,29.1,141,87,77.8,ZZZ999,Z82.49,outpatient,0.6,375.36,OHIP,East Gwillimbury,L3G
937-96-8937,51,M,White,Non-Hispanic,33.1,131,88,93.2,E11.9,Z79.4,outpatient,1.5,2397.09,OHIP,Innisfil,L5G
637-23-5177,35,F,South Asian,Hispanic,18.6,120,59,100.0,E11.9,,telehealth,1.0,416.88,OHIP,East Gwillimbury,L3G
457-66-4133,53,M,White,Non-Hispanic,22.1,126,79,65.0,I10,Z96.651,outpatient,5.6,612.73,OHIP,Bradford,L4G
982-87-2932,39,M,White,Non-Hispanic,25.7,134,79,115.3,I10,Z87.891,emergency,1.9,1202.96,Self-pay,Innisfil,L4G
130-46-2196,69,F,South Asian,Non-Hispanic,34.1,153,84,135.6,E11.9,,inpatient,0.3,7686.92,OHIP,Richmond Hill,L6G
713-95-2338,49,M,Black,Non-Hispanic,27.2,134,72,88.7,J44.1,,outpatient,1.4,2057.15,OHIP,East Gwillimbury,L5G
127-70-7546,37,F,White,Non-Hispanic,20.4,119,81,112.7,I10,Z82.49,inpatient,4.0,620.58,OHIP,Bradford,L5G
782-68-6931,46,F,White,Non-Hispanic,17.1,124,71,96.9,E11.9,Z82.49,emergency,2.2,752.92,OHIP,King,L6G
212-75-1018,59,F,Black,Non-Hispanic,26.6,135,68,111.4,F41.1,,preventive,3.7,99.51,Workplace,Barrie,L4G
951-98-1464,41,M,South Asian,Non-Hispanic,21.5,117,58,118.3,F41.1,Z79.4,outpatient,0.6,2221.11,OHIP,Aurora,L4G
790-22-6310,37,M,Other,Hispanic,17.9,127,82,73.1,I10,Z79.4,outpatient,4.4,1952.38,OHIP,Bradford,L6G
592-25-5020,56,M,Black,Non-Hispanic,24.4,137,84,108.5,E11.9,Z79.4,emergency,2.8,934.67,Private,Richmond Hill,L5G
262-68-1294,56,F,Arab,Non-Hispanic,26.4,149,80,114.9,M54.5,,outpatient,2.6,1573.89,OHIP,Richmond Hill,L6G
678-82-7844,42,F,Black,Non-Hispanic,37.8,146,76,89.4,,Z96.641,outpatient,0.9,58.54,OHIP,Barrie,L6G
661-62-6427,43,F,White,Non-Hispanic,22.6,119,71,90.6,E66.9,Z87.891,outpatient,4.4,181.61,WSIB,Barrie,L3G
223-38-1194,56,F,White,Hispanic,23.5,140,70,66.3,J44.1,Z96.641,emergency,2.0,5777.74,OHIP,Bradford,L6G
941-84-7343,25,F,Chinese,Non-Hispanic,26.2,111,68,106.7,N39.0,Z82.49,outpatient,3.8,488.2,OHIP,Keswick,L4G
983-11-6699,26,F,South Asian,Non-Hispanic,20.0,125,53,57.0,F41.1,Z79.4,inpatient,0.9,1650.64,Private,Barrie,L6G
545-89-5840,39,M,White,Non-Hispanic,21.9,119,68,109.5,F32.1,Z79.4,telehealth,0.3,271.52,Self-pay,Keswick,L5G
797-94-2860,48,F,White,Non-Hispanic,25.6,119,75,176.1,E11.9,,emergency,0.8,391.27,OHIP,King,L5G
541-44-2934,57,M,Arab,Non-Hispanic,25.0,136,84,168.3,J44.1,,outpatient,1.2,6158.69,OHIP,Richmond Hill,L4G
371-96-3171,78,F,White,Non-Hispanic,35.1,120,87,100.9,E11.9,,inpatient,1.5,550.63,Private,Bradford,L5G
322-55-5747,67,F,White,Non-Hispanic,21.0,117,87,110.1,E11.9,,outpatient,1.4,1246.72,OHIP,Barrie,L6G
396-28-8116,49,F,White,Hispanic,31.6,131,90,82.8,,Z79.4,outpatient,1.6,777.86,OHIP,King,L4G
980-11-6750,51,M,White,Non-Hispanic,17.5,127,84,75.0,I10,,outpatient,3.7,894.0,Workplace,Bradford,L5G
450-18-9190,33,M,White,Non-Hispanic,27.6,121,78,68.5,E11.9,Z96.651,outpatient,0.4,858.06,OHIP,East Gwillimbury,L6G
376-17-7610,51,M,White,Non-Hispanic,28.7,116,79,111.4,F41.1,,inpatient,0.8,61.98,OHIP,Aurora,L5G
134-47-9793,46,M,White,Non-Hispanic,19.6,118,67,104.9,ZZZ999,Z87.891,telehealth,4.4,1179.07,OHIP,East Gwillimbury,L3G
302-44-6187,57,M,Black,Non-Hispanic,22.2,135,84,105.5,I10,,telehealth,1.6,348.92,OHIP,Newmarket,L5G
230-21-3734,37,F,White,Non-Hispanic,25.0,131,88,99.4,I10,Z96.641,outpatient,1.8,5627.84,OHIP,Keswick,L4G
930-35-2066,61,F,Chinese,Non-Hispanic,27.8,136,84,103.2,I10,,inpatient,1.3,263.18,OHIP,Newmarket,L6G
974-86-2317,79,M,Filipino,Non-Hispanic,31.0,156,102,90.6,I10,Z87.891,outpatient,1.6,377.69,Private,Georgina,L6G
384-64-8794,50,M,White,Non-Hispanic,30.3,137,67,100.6,J45.901,,inpatient,0.4,12523.18,Private,King,L4G
118-44-1047,59,M,South Asian,Hispanic,18.1,123,68,82.1,E11.9,Z79.4,outpatient,1.6,1584.6,OHIP,Keswick,L3G
844-69-8842,64,F,White,Non-Hispanic,25.5,133,88,89.9,J06.9,Z82.49,telehealth,11.7,204.36,OHIP,King,L6G
443-61-7450,44,F,Filipino,Non-Hispanic,30.1,116,80,140.6,E11.9,,preventive,1.7,821.96,Private,East Gwillimbury,L4G
667-30-8787,56,F,White,Non-Hispanic,24.8,131,89,95.6,Z00.00,Z96.651,outpatient,0.1,153.78,OHIP,Innisfil,L5G
664-15-5065,52,F,South Asian,Non-Hispanic,23.9,141,78,65.4,J06.9,,emergency,3.2,906.06,OHIP,Keswick,L3G
181-71-9408,53,F,South Asian,Non-Hispanic,25.0,138,71,88.9,F41.1,Z87.891,inpatient,1.0,253.34,Workplace,Richmond Hill,L4G
434-56-9944,38,F,White,Non-Hispanic,24.0,139,72,79.1,J44.1,,inpatient,0.3,6234.28,OHIP,King,L5G
789-91-8068,52,M,White,Non-Hispanic,21.6,126,65,97.4,I50.9,Z82.49,inpatient,4.0,1102.2,OHIP,Richmond Hill,L6G
754-67-8958,60,F,South Asian,Non-Hispanic,34.9,152,74,81.7,J45.901,,emergency,0.4,1252.71,Self-pay,Innisfil,L6G
652-84-1782,78,M,Black,Non-Hispanic,28.0,141,93,91.8,K21.0,Z79.4,preventive,5.1,2079.12,OHIP,Barrie,L3G
186-12-4794,69,F,White,Non-Hispanic,34.2,157,92,83.9,E11.9,,emergency,1.2,2377.84,OHIP,King,L5G
612-97-6597,90,M,South Asian,Non-Hispanic,21.1,144,89,98.0,E11.9,Z79.4,inpatient,2.7,290.94,OHIP,Newmarket,L4G
597-20-6051,38,F,White,Non-Hispanic,27.9,134,62,85.6,E11.9,Z79.4,preventive,1.6,745.43,OHIP,King,L6G
842-74-5355,67,F,Black,Non-Hispanic,26.0,152,79,100.4,E11.9,Z79.4,telehealth,0.6,389.72,Private,Barrie,L4G
636-81-3510,55,F,White,Non-Hispanic,37.0,136,73,124.2,K21.0,,outpatient,2.2,8208.19,Private,East Gwillimbury,L4G
193-49-2375,91,F,Latin American,Non-Hispanic,27.0,150,98,77.7,J06.9,,outpatient,6.3,50.0,OHIP,Bradford,L4G
207-94-7238,37,M,White,Non-Hispanic,22.5,136,69,105.9,M54.5,Z96.651,emergency,2.9,333.58,OHIP,Newmarket,L3G
967-53-2479,36,M,White,Non-Hispanic,36.2,129,69,58.2,I10,Z96.651,telehealth,1.9,604.29,WSIB,Newmarket,L4G
483-32-4305,41,M,White,Non-Hispanic,21.7,112,74,91.5,E11.9,Z87.891,outpatient,9.3,783.93,OHIP,Innisfil,L3G
797-64-6452,13,M,White,Non-Hispanic,21.4,135,62,98.4,I10,,outpatient,0.6,764.96,OHIP,East Gwillimbury,L3G
674-69-1188,42,F,White,Non-Hispanic,25.4,122,87,83.8,J44.1,,outpatient,0.1,629.31,OHIP,Newmarket,L5G
947-85-3236,38,M,White,Non-Hispanic,32.9,131,71,68.2,E78.5,,emergency,0.1,547.36,OHIP,Aurora,L6G
450-78-3161,54,F,Chinese,Non-Hispanic,20.3,141,66,94.4,I10,,telehealth,2.5,888.52,OHIP,Richmond Hill,L4G
203-98-6897,58,F,White,Non-Hispanic,17.8,124,60,118.0,K21.0,,inpatient,3.5,1157.25,OHIP,Keswick,L5G
